,0
0,18856.25
1,17295.2
2,16488.98
3,15492.64
4,13326.61
5,13300
6,13500
7,13699.34
8,15689.01
9,15459.99
10,14182.11
11,14378.9
12,12440.01
13,13716.36
14,13380
15,14675.11
16,14919.51
17,15059.54
18,16960.39
19,17069.79
20,16150.03
21,14902.54
22,14400
23,14907.09
24,13238.78
25,13740.01
26,14210
27,13474.99
28,13539.93
29,10900
30,10988.79
31,10961.97
32,11474.98
33,12799.94
34,11530
35,10760.05
36,10799.18
37,11349.99
38,11175.27
39,11089
40,11491
41,11879.95
42,11251
43,10237.51
44,10285.1
45,9224.52
46,8873.03
47,9199.96
48,8184.81
49,6939.99
50,7652.14
51,7599
52,7784.02
53,8683.92
54,8533.98
55,8063.88
56,8903
57,8539.9
58,9449.99
59,10000.09
60,10159.98
61,11039.55
62,10383.43
63,11153
64,11200.99
65,10437.6
66,9811.04
67,10131.04
68,9694.51
69,9590
70,10324
71,10569.04
72,10326.76
73,10920
74,11039
75,11464.48
76,11515
77,11454
78,10716.48
79,9910
80,9271.64
81,9227
82,8770.22
83,9533.57
84,9131.34
85,9150
86,8170
87,8240.98
88,8260
89,7824.8
90,8189.99
91,8600
92,8909.98
93,8885
94,8722.9
95,8898.03
96,8546.86
97,8470.15
98,8134.23
99,7795.51
100,7949.3
101,7090.14
102,6840.23
103,6923.91
104,6813.01
105,7056
106,7405.21
107,6796.1
108,6770.76
109,6601.39
110,6895.8
111,7018
112,6782.72
113,6843.9
114,6953.79
115,7923
116,7877.41
117,7999.01
118,8355
119,8064.92
120,7885.02
121,8173
122,8278
123,8856.98
124,8915.31
125,8787.02
126,8934.01
127,9619.99
128,8869.99
129,9266
130,8915.35
131,9348
132,9419
133,9246.01
134,9071.48
135,9247.84
136,9750
137,9713.99
138,9864
139,9659.01
140,9365
141,9187.56
142,9310
143,9002.2
144,8400
145,8465.94
146,8679.71
147,8663.34
148,8462
149,8330
150,8041.46
151,8239.81
152,8233.49
153,8526.98
154,8381.24
155,7977.11
156,7501.95
157,7575.01
158,7457
159,7333.96
160,7338.99
161,7099
162,7461.29
163,7375.96
164,7485.01
165,7521.01
166,7640.03
167,7714.26
168,7487
169,7625
170,7658.84
171,7691.08
172,7603.44
173,7491.73
174,6764.99
175,6872
176,6530
177,6292.78
178,6635.98
179,6388.9
180,6483.98
181,6449.61
182,6712.46
183,6741.21
184,6761.51
185,6718.84
186,6045
187,6149.98
188,6136.97
189,6252
190,6070.78
191,6133.73
192,5853.98
193,6197.92
194,6390.07
195,6356.81
196,6615.29
197,6513.86
198,6586.98
199,6529.2
200,6609.78
201,6756.98
202,6712.1
203,6662.12
204,6296.91
205,6378.07
206,6250.57
207,6214.57
208,6251.99
209,6353.01
210,6723.35
211,7317.44
212,7381.9
213,7466.21
214,7337.53
215,7398.78
216,7394.79
217,7721.01
218,8397.24
219,8175.64
220,7920
221,8188.57
222,8225.04
223,8211
224,8173.92
225,7730.93
226,7604.58
227,7525.71
228,7418.78
229,7009.84
230,7024.19
231,6934.82
232,6720.06
233,6285
234,6529.79
235,6144.01
236,6232.35
237,6308.33
238,6246.35
239,6188.08
240,6267.16
241,6311.75
242,6584.49
243,6387.96
244,6477.53
245,6254.84
246,6480
247,6360.89
248,6525.01
249,6681.64
250,6733.64
251,6700
252,6908.64
253,7076.11
254,7031.22
255,6984.84
256,7011.21
257,7200.01
258,7302.01
259,7263.02
260,7359.06
261,6700
262,6516.01
263,6395.54
264,6185.05
265,6250.81
266,6312
267,6294.91
268,6338.62
269,6487.38
270,6476.63
271,6514.96
272,6505
273,6248.69
274,6336.45
275,6391.89
276,6492
277,6759.02
278,6723.05
279,6708
280,6581.39
281,6447.54
282,6465.12
283,6689.13
284,6634.58
285,6596.38
286,6626.57
287,6611.61
288,6525.79
289,6510
290,6593.79
291,6635.65
292,6594.27
293,6615.26
294,6673.01
295,6656.61
296,6631
297,6252.68
298,6298.01
299,6332.93
300,6339.34
301,6752.5
302,6759.27
303,6740.89
304,6618.96
305,6528.88
306,6588.4
307,6590.11
308,6581.2
309,6553.51
310,6565.5
311,6528.09
312,6538.63
313,6505.6
314,6489.93
315,6344.5
316,6330.87
317,6371.93
318,6410
319,6433.98
320,6387.09
321,6485.85
322,6468.99
323,6519.11
324,6578.46
325,6479.84
326,6419.99
327,6433.05
328,6449.81
329,6453.07
330,6457.66
331,5922.41
332,5753.4
333,5655.94
334,5628.29
335,5662
336,4910.03
337,4558.86
338,4661.07
339,4370
340,4420.61
341,3932.44
342,4085.78
343,3862.2
344,3875.21
345,4264.85
346,4295.84
347,4041.32
348,4190.02
349,4161.01
350,3884.01
351,3951.64
352,3769.84
353,3508.75
354,3403.55
355,3410.93
356,3545.37
357,3432.88
358,3380.39
359,3445
360,3302.06
361,3224.17
362,3211.72
363,3228.67
364,3509.08
365,3652.98
366,3662.22
367,4049.62
368,3838.66
369,3948.91
370,3929.71
371,4008.01
372,3745.79
373,3777.74
374,3567.91
375,3839.26
376,3695.32
377,3801.91
378,3702.9
379,3797.14
380,3858.56
381,3766.78
382,3792.01
383,3770.96
384,3987.6
385,3975.45
386,3955.13
387,3966.65
388,3585.88
389,3601.31
390,3583.13
391,3476.81
392,3626.09
393,3553.06
394,3591.84
395,3616.21
396,3594.87
397,3665.3
398,3539.28
399,3526.9
400,3570.93
401,3552.82
402,3569.62
403,3565.29
404,3565.25
405,3550.84
406,3434.15
407,3411.04
408,3458.18
409,3434.1
410,3462.07
411,3504.77
412,3458.11
413,3463.22
414,3471.59
415,3405.37
416,3398.4
417,3659.04
418,3665.18
419,3680.06
420,3631.05
421,3631.46
422,3609.4
423,3590.56
424,3602.47
425,3618.41
426,3667.58
427,3898.6
428,3907.79
429,3969.74
430,3937.31
431,3962
432,4117.76
433,3743.56
434,3827.92
435,3809.23
436,3818.07
437,3813.69
438,3823
439,3819.93
440,3807.75
441,3715.3
442,3857.73
443,3861.84
444,3873.64
445,3864.89
446,3943.04
447,3916.82
448,3871.61
449,3882.73
450,3866
451,3877.12
452,3923.76
453,4005.98
454,3981.14
455,3987.81
456,4015.53
457,4043.04
458,3980.64
459,3986.93
460,4006.01
461,3992.18
462,3936.12
463,3948.55
464,4038.05
465,4027.81
466,4103.25
467,4106.97
468,4103.95
469,4144.56
470,4857.29
471,4932.6
472,4898.66
473,5004.95
474,5043.89
475,5170.27
476,5236.9
477,5150
478,5308.25
479,5017.37
480,5048.01
481,5045.22
482,5131.3
483,5024.95
484,5173.72
485,5202.82
486,5258.44
487,5258.68
488,5291.73
489,5256.14
490,5357.14
491,5493.31
492,5415
493,5219.9
494,5314.1
495,5295.69
496,5307.52
497,5238.14
498,5320.81
499,5383.2
500,5492.87
501,5772.69
502,5829.45
503,5775.62
504,5747.79
505,5846.34
506,5987.29
507,6209.18
508,6373.33
509,7076.22
510,6967.31
511,7790.71
512,7947.56
513,8169.87
514,7866.59
515,7355.26
516,7257.45
517,8148.48
518,7938.15
519,7904.87
520,7628.43
521,7851.51
522,7964.87
523,8025.41
524,8614.43
525,8756.32
526,8715.64
527,8645.68
528,8269.54
529,8555
530,8544.07
531,8725.98
532,8115.82
533,7687.03
534,7776.5
535,7786.7
536,7980.53
537,7893.62
538,7628.13
539,7982.75
540,7884.9
541,8127.64
542,8218.54
543,8650
544,8808.7
545,8953.33
546,9313.96
547,9081.55
548,9255.49
549,9517.12
550,10159.86
551,10729.5
552,10906.07
553,11056.59
554,11820.86
555,13093.8
556,11329.99
557,12400.63
558,11903.13
559,10854.1
560,10624.93
561,10842.85
562,11940
563,11145.67
564,10970.73
565,11256.49
566,11406.24
567,12238.6
568,12543.41
569,12108.37
570,11342.89
571,11757.22
572,11355.76
573,10174.18
574,10838.72
575,9439.59
576,9667.92
577,10627.16
578,10504.29
579,10740.23
580,10589.45
581,10340.31
582,9864.91
583,9763.28
584,9879.87
585,9824
586,9476.52
587,9541.54
588,9507.64
589,9574.21
590,10080.53
591,10374.99
592,10523.75
593,10816.86
594,10929.23
595,11828.8
596,11481.69
597,11975.03
598,11999.77
599,11879.99
600,11309.31
601,11549.97
602,11396.08
603,10892.71
604,10050.37
605,10293.93
606,10331.54
607,10216.02
608,10306.78
609,10915.54
610,10760.51
611,10142.57
612,10099.88
613,10389.55
614,10134.35
615,10142.69
616,10372.25
617,10185.05
618,9721
619,9498.44
620,9584.54
621,9587.47
622,9724.98
623,10340
624,10615.28
625,10567.02
626,10564.49
627,10298.73
628,10455.88
629,10381.18
630,10303.12
631,10098.15
632,10158.33
633,10415.01
634,10342.06
635,10335.02
636,10302.01
637,10251.31
638,10187.82
639,10156.99
640,10244.29
641,10168.59
642,9986.39
643,10028.87
644,9702.25
645,8493.14
646,8430.05
647,8063.73
648,8177.91
649,8198.81
650,8043.82
651,8289.34
652,8292.44
653,8359.94
654,8223.96
655,8137.13
656,8126.19
657,7854.25
658,8190.09
659,8168.39
660,8560.74
661,8558.03
662,8258.5
663,8300.09
664,8275.01
665,8348.2
666,8159.29
667,7991.74
668,8070.58
669,7947.01
